DNI,Fecha Alta,Apellidos,Nombre,Email,Movil,Direccion,Provincia,Municipio,Fecha Baja
86796825T,01/02/2023,ALVAREZ SANCHEZ,Carlos,luis.as@outlook.com,654876543,,León,León,17/10/2024
92736451H,01/02/2023,ALVAREZ SANCHEZ,LUIS,luis.as@outlook.com,654876543,"Calle Real, 23",León,León,17/10/2024
11111111H,01/02/2023,ALVAREZ SANCHEzz,luch,luis.as@outlook.cod,654876543,"Calle Real, 23",León,León,
39489820Q,02/10/2024,Andor,Manu,manandor@gmail.com,656486945,Calle hor,Álava,Alegría-Dulantzi,17/10/2024
35608551C,17/10/2024,Baquero Amaral,David,dba@gmail.com,722333444,Calle,Pontevedra,Tui,21/10/2024
91027364I,10/01/2023,CABRERA LOPEZ,ANDREA,andrea.cl@hotmail.com,687123456,"Calle Falsa, 45",Almería,Almería,
10273648L,01/10/2022,CASTRO DIAZ,PEDRO,pedro.cd@yahoo.com,687654321,"Calle del Río, 90",Soria,Soria,17/10/2024
93827164D,05/06/2023,DOMINGUEZ RUIZ,MARIO,mario.dr@hotmail.com,654789321,"Calle Otoño, 89",Santander,Santander,
17453041C,05/06/2023,DOMINGUEZ RUIZ,Maria,,654789321,"Calle Otoño, 89",León,León,
38452953N,15/10/2021,FERNANDEZ,Breixo,juan.fg@yahoo.com,678654321,"Calle de la Estrella, 67",Girona,Fortià,22/10/2024
92837465X,15/10/2021,FERNANDEZ GOMEZ,JUAN,juan.fg@yahoo.com,678654321,"Calle de la Estrella, 67",Girona,Fortià,
91827365O,01/07/2022,FERRANDO LOPEZ,LUISA,luisa.fl@outlook.com,654987654,"Calle de la Luna, 45",Jaén,Jaén,22/10/2024
29876452D,12/09/2024,FERRER GARCIA,CARLOS,carlos.fg@gmail.com,689512234,"Calle de la Flor, 23",Madrid,Madrid,21/10/2024
98372164N,20/08/2022,GALINDO FERNANDEZ,JOSE,jose.gf@gmail.com,689234567,"Calle del Mar, 12",Guadalajara,Guadalajara,07/11/2024
29374652U,20/01/2022,GARCIA LOPEZ,PEDRO,pedro.gl@hotmail.com,689123789,"Camino de la Sierra, 12",Segovia,Segovia,
90287365F,20/04/2024,GARCIA MARTINEZ,ALEJANDRO,alejandro.gm@gmail.com,678345789,"Plaza Mayor, 34",Zaragoza,Zaragoza,11/11/2024
83927465G,15/03/2023,GOMEZ FERNANDEZ,CLAUDIA,claudia.gf@gmail.com,678123654,"Avenida Libertador, 78",Logroño,Logroño,
46719203J,10/05/2024,GONZALEZ FERNANDEZ,LUIS,luis.gf@hotmail.com,687543210,"Calle Luna, 89",Bilbao,Bilbao,
12612730J,,GRACIA ROMAN,MARIANO,69xja89v@unforgettable.com,901949529,"TRAVESSERA NUEVA, 54",Badajoz,Aljucén,
62781930C,15/07/2023,GUTIERREZ LOPEZ,ANA,ana.gl@gmail.com,678345123,"Calle Primavera, 45",Pamplona,Pamplona,
92837465T,15/02/2022,HERNANDEZ FERRER,LUIS,luis.hf@yahoo.com,654321654,"Calle de la Luna, 45",Ourense,Ourense,07/11/2024
54394691J,,HERNANDO POVEDA,LUISA,v8uc6ern@msn.com,971725741,"TRAVESÍA MADRID, 52",Burgos,Carazo,
64728193G,01/03/2024,HERRERA MORENO,CLAUDIA,claudia.hm@msn.com,634876543,"Calle del Sol, 56",Valladolid,Valladolid,
10927384E,15/05/2023,HERRERO JIMENEZ,MARIA,maria.hj@gmail.com,689432156,"Calle Verano, 12",Málaga,Málaga,
27364851M,15/09/2022,IGLESIAS MARTIN,SARA,sara.im@gmail.com,654345789,"Plaza de la Estrella, 67",Ciudad Real,Ciudad Real,
89127354K,23/08/2024,LOPEZ PEREZ,MARIA,maria.lopez@yahoo.com,654987321,"Avenida Libertad, 12",Barcelona,Barcelona,
20984657H,15/07/2024,MARTIN SANCHEZ,JUAN,juan.ms@outlook.com,678943210,"Calle Mayor, 3",Valencia,Valencia,
19283746R,20/04/2022,MARTINEZ GUTIERREZ,RAUL,raul.mg@gmail.com,654678234,"Calle de las Rosas, 56",Cáceres,Cáceres,
29374652Q,05/05/2022,MATEOS RAMIREZ,MARIA,maria.mr@hotmail.com,687987123,"Plaza del Árbol, 34",Huesca,Huesca,
91827364A,31/12/2023,MOLINA CRUZ,PEDRO,pedro.mc@gmail.com,689123456,"Calle Azul, 90",Granada,Granada,
10928374Y,23/08/2023,MORENO PEREZ,FELIPE,felipe.mp@msn.com,699543876,"Avenida España, 67",Oviedo,Oviedo,
82736451L,01/09/2023,NAVARRO SERRANO,LUISA,luisa.ns@gmail.com,687912345,"Calle Blanca, 23",Toledo,Toledo,
37462851W,01/11/2021,NUÑEZ DIAZ,LUISA,luisa.nd@gmail.com,687987654,"Calle de la Torre, 90",Badajoz,Badajoz,21/10/2024
28173645P,21/01/2024,ORTEGA RAMIREZ,SARA,sara.or@yahoo.com,654123987,"Avenida de la Paz, 12",Murcia,Murcia,
19283746Y,25/09/2021,PASCUAL LOPEZ,MARIA,maria.pl@gmail.com,654987123,"Avenida de los Reyes, 34",Palencia,Palencia,
27384651F,25/04/2023,PASCUAL MARTINEZ,JUAN,juan.pm@yahoo.com,654321987,"Plaza del Sol, 56",Burgos,Burgos,
74916328L,05/06/2024,PEREZ LOPEZ,ANDREA,andrea.pl@gmail.com,699876543,"Camino Real, 45",Sevilla,Sevilla,
19283645J,20/12/2022,PEREZ RAMIREZ,RAUL,raul.pr@gmail.com,654567890,"Calle de los Olivos, 34",Cuenca,Cuenca,
67363011J,,PRIETO HERRERA,ALBERTO,hh2qrpch@netscape.net,935151863,"TRAVESSERA CATALUNYA, 93",Badajoz,Aljucén,
84729361S,01/03/2022,QUINTANA LOPEZ,CLAUDIA,claudia.ql@gmail.com,678912345,"Avenida del Parque, 23",Zamora,Zamora,
12376452V,10/12/2021,RODRIGUEZ MARTINEZ,ANDREA,andrea.rm@outlook.com,654789321,"Plaza de la Paz, 78",Tarragona,Tarragona,
91837465Z,10/10/2023,ROMERO MARTIN,JOSE,jose.rm@outlook.com,654678912,"Camino Viejo, 34",Córdoba,Córdoba,
19283746T,20/11/2023,RUIZ DIAZ,MONICA,monica.rd@hotmail.com,678987123,"Plaza Nueva, 56",Salamanca,Salamanca,
83716452K,15/11/2022,SAEZ RUIZ,MONICA,monica.sr@msn.com,678234567,"Camino de las Flores, 56",Teruel,Teruel,
81937462Q,11/02/2024,SANCHEZ TORRES,IGNACIO,ignacio.st@gmail.com,678912345,"Calle Verde, 78",Alicante,Alicante,
62738461P,15/06/2022,VALERO SANCHEZ,JUAN,juan.vs@gmail.com,678123456,"Camino Nuevo, 78",Lugo,Lugo,
